일,캠페인 이름,광고 세트 이름,광고 이름,게재 상태,게재 수준,광고 세트 이름,기여 설정,결과 유형,결과,도달,노출,링크 클릭,지출 금액 (KRW),ThruPlay,결과당 비용,품질 순위,참여율 순위,전환율 순위,웹사이트 구매,웹사이트 문의,보고 시작,보고 종료
2026-06-10,03_ieltsacdemy_cv (수도권),03-7_ieltsacdemy_cv_260522 (수도권),i_cv_ieltstiming_timer_260522,active,ad,03-7_ieltsacdemy_cv_260522 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,6,6,,68,,,-,-,-,,,2026-06-10,2026-06-10
2026-06-10,01_ieltsacdemy_aw (수도권),01-4_ieltsacdemy_aw_260522 (수도권),i_aw_ieltstiming_timer_260522,active,ad,01-4_ieltsacdemy_aw_260522 (수도권),클릭 후 7일 또는 조회 후 1일,도달,1,1,1,,2,,2000,-,-,-,,,2026-06-10,2026-06-10
2026-06-10,01_ieltsacdemy_aw (수도권),01-4_ieltsacdemy_aw_260522 (수도권),i_aw_ieltstiming_timer_260522,active,ad,01-4_ieltsacdemy_aw_260522 (수도권),클릭 후 7일 또는 조회 후 1일,도달,181,181,185,,191,,1055.25,-,-,-,,,2026-06-10,2026-06-10
2026-06-10,01_ieltsacdemy_aw (수도권),01-4_ieltsacdemy_aw_260522 (수도권),i_aw_ieltstiming_timer_260522,active,ad,01-4_ieltsacdemy_aw_260522 (수도권),클릭 후 7일 또는 조회 후 1일,도달,539,539,565,3,488,,905.38,-,-,-,,,2026-06-10,2026-06-10
2026-06-10,03_ieltsacdemy_cv (수도권),03-7_ieltsacdemy_cv_260522 (수도권),i_cv_beforevacation_track_260522,active,ad,03-7_ieltsacdemy_cv_260522 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,1,1,,0,,,-,-,-,,,2026-06-10,2026-06-10
2026-06-10,03_ieltsacdemy_cv (수도권),03-7_ieltsacdemy_cv_260522 (수도권),i_cv_beforevacation_track_260522,active,ad,03-7_ieltsacdemy_cv_260522 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,1,2,,4,,,-,-,-,,,2026-06-10,2026-06-10
2026-06-10,03_ieltsacdemy_cv (수도권),03-7_ieltsacdemy_cv_260522 (수도권),i_cv_beforevacation_track_260522,active,ad,03-7_ieltsacdemy_cv_260522 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,1,32,34,2,584,,584,-,-,-,,1,2026-06-10,2026-06-10
2026-06-10,01_ieltsacdemy_aw (수도권),01-3_ieltsacdemy_aw_260422 (수도권),v_aw_satisfaction93.4_260422,active,ad,01-3_ieltsacdemy_aw_260422 (수도권),클릭 후 7일 또는 조회 후 1일,도달,3,3,3,,3,,1000,-,-,-,,,2026-06-10,2026-06-10
2026-06-10,01_ieltsacdemy_aw (수도권),01-4_ieltsacdemy_aw_260522 (수도권),i_aw_ieltsstart_book_260522,active,ad,01-4_ieltsacdemy_aw_260522 (수도권),클릭 후 7일 또는 조회 후 1일,도달,1,1,1,,1,,1000,-,-,-,,,2026-06-10,2026-06-10
2026-06-10,01_ieltsacdemy_aw (수도권),01-4_ieltsacdemy_aw_260522 (수도권),i_aw_ieltsstart_book_260522,active,ad,01-4_ieltsacdemy_aw_260522 (수도권),클릭 후 7일 또는 조회 후 1일,도달,12,12,12,,13,,1083.33,-,-,-,,,2026-06-10,2026-06-10
