일	기기	캠페인 유형	캠페인	광고그룹	광고 라벨	노출수	클릭수	통화 코드	비용	전환	TrueView 조회수
2026-05-02	휴대전화	디맨드젠 캠페인	(어학원) 디맨드젠 캠페인_온라인특강_260210	디맨드젠_검색+리타겟_관심사	IMG_온라인특강5_260210	314	13	KRW	790	5.49	0
2026-05-02	태블릿	디맨드젠 캠페인	(어학원) 디맨드젠 캠페인_온라인특강_260210	디맨드젠_검색+리타겟_관심사	IMG_온라인특강5_260210	60	1	KRW	88	0.00	0
2026-05-02	휴대전화	디맨드젠 캠페인	DM_05_IELTS ACADEMY_VID (수도권)	05-01_IELTS ACADEMY_VID (수도권)	v_dm_ielts1.8months_260423	167	4	KRW	1397	0.00	71
2026-05-02	태블릿	디맨드젠 캠페인	DM_05_IELTS ACADEMY_VID (수도권)	05-01_IELTS ACADEMY_VID (수도권)	v_dm_ielts1.8months_260423	1	0	KRW	1	0.00	1
2026-05-02	휴대전화	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-01_IELTS ACADEMY_IMG (수도권)	i_dm_0wonselftest_260423	13	0	KRW	18	0.00	0
2026-05-02	컴퓨터	디맨드젠 캠페인	DM_05_IELTS ACADEMY_VID (수도권)	05-01_IELTS ACADEMY_VID (수도권)	v_dm_satisfaction93.4_260423	4	0	KRW	6	0.00	0
2026-05-02	휴대전화	디맨드젠 캠페인	DM_05_IELTS ACADEMY_VID (수도권)	05-01_IELTS ACADEMY_VID (수도권)	v_dm_satisfaction93.4_260423	429	23	KRW	3127	0.01	149
2026-05-02	태블릿	디맨드젠 캠페인	DM_05_IELTS ACADEMY_VID (수도권)	05-01_IELTS ACADEMY_VID (수도권)	v_dm_satisfaction93.4_260423	2	0	KRW	14	0.00	2
2026-05-02	휴대전화	디맨드젠 캠페인	DM_05_IELTS ACADEMY_VID (수도권)	05-01_IELTS ACADEMY_VID (수도권)	v_dm_professional_instructor_260423	"2,156"	143	KRW	15960	9.01	617
2026-05-02	태블릿	디맨드젠 캠페인	DM_05_IELTS ACADEMY_VID (수도권)	05-01_IELTS ACADEMY_VID (수도권)	v_dm_professional_instructor_260423	6	0	KRW	8	0.00	3
2026-05-02	휴대전화	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-01_IELTS ACADEMY_IMG (수도권)	i_dm_freeclass_260423	454	28	KRW	5840	1.00	0
